model_name,dataset,group,horizon,std_dev_smape,std_dev_mae,std_dev_mse,median_smape,median_mae,median_mse,std_dev_mase,median_mase,mean_smape,mean_mae,mean_mse,mean_mase
nbeats,m3,Monthly,18,0.0011349029914106,4.8661874626593065,42461.57409231842,0.1403298240256177,620.5165797230613,1399484.1860220218,,,,,,
nbeatsstackmoe,m3,Yearly,6,0.0036585995775183,16.517771016084012,154613.05682962548,0.1626837482209508,940.4340917394672,2445419.7582867807,,,,,,
nbeats,m3,Yearly,6,0.0016045346455767,12.592322242457715,94060.4173762013,0.1612866697329394,924.5029581828746,2330142.287416271,,,,,,
nbeatsmoe,m3,Yearly,6,0.0010613546984653,4.173468512069768,64397.38972467489,0.1632984626694681,965.4664465082844,2777861.052730904,,,,,,
nbeatsstackmoe,gluonts_tourism_quarterly,Q,8,0.0027691046678332,615.8933314046087,2579821014.5832105,0.2098552693091164,13498.95142789691,13353243153.74324,,,,,,
nbeatsmoe,m3,Monthly,18,0.0009089754243141,3.564218722947993,16897.13630388834,0.1408133042558816,624.6608903066383,1386479.1462952483,,,,,,
nbeatsmoeshared,m3,Monthly,18,0.0005894297692733,2.588733143345081,29188.74051717358,0.1406658281574659,621.2104187327532,1399074.8556362076,,,,,,
nbeatsmoeshared,m3,Yearly,6,0.0018189846733706,11.476464283007658,183768.8865100105,0.161726208664443,958.209317601088,2717439.531595961,,,,,,
nbeatsmoe,gluonts_tourism_quarterly,Q,8,0.0053537988917898,889.8094703744166,3508705961.811161,0.1927871584511621,13314.410401831188,13998330577.5805,,,,,,
nbeatsmoeshared,gluonts_tourism_yearly,Y,4,0.0068565034003734,6478.773356688912,174735954745.10703,0.2676868408342298,100722.41826993562,888237005710.627,,,,,,
nbeatsstackmoe,gluonts_tourism_monthly,M,18,0.0051613483417226,154.2912243138048,107162644.46940608,0.2513050031065451,3741.690847593488,596637249.20926,,,,,,
nbeatsmoeshared,gluonts_m1_quarterly,Q,2,0.0015629941716274,119.31599522020754,18777786.699489303,0.1128384949249224,2243.397938326368,155337573.54074115,,,,,,
nbeatsmoeshared,gluonts_tourism_quarterly,Q,8,0.0045676147173004,367.7139874057204,1780894429.7420814,0.1995088646082014,12814.587378898885,10809050886.25732,,,,,,
nbeatsmoe,gluonts_tourism_monthly,M,18,0.0040658463165809,199.28360384637188,93988681.03327432,0.2477267334080977,3588.372141808398,565458455.4588356,,,,,,
nbeatsmoe,m3,Quarterly,8,0.000640432545545,3.969119477183319,24359.253908514485,0.0911625729159684,483.9747160206144,816080.8986219272,,,,,,
nbeatsmoeshared,m3,Quarterly,8,0.0020731090592041,12.955785085489314,35858.879634471166,0.0968245442738569,517.9067149964591,919542.725860034,,,,,,
nbeatsmoeshared,gluonts_tourism_monthly,M,18,0.0054135856823312,166.33172377683178,56343191.51445827,0.2463697027822347,3503.926934940233,538496878.8107972,,,,,,
nbeats,gluonts_m1_monthly,M,8,0.0026803616230204,94.79697261125976,61341856.63787445,0.1553439778020989,1816.999236945304,379511481.5785103,,,,,,
nbeatsmoeshared,gluonts_m1_yearly,Y,2,0.0047623415535271,3997.185780963944,20615536872.636417,0.0996799307429496,53719.18824635125,136048425544.39642,,,,,,
nbeatsstackmoe,gluonts_m1_yearly,Y,2,0.0038639257056178,2121.931003156224,12920919008.61735,0.0975791339417958,55630.53575561488,166297792018.38586,,,,,,
nbeatsmoe,gluonts_m1_monthly,M,8,0.0025350936429782,73.25251796848502,137404766.4183138,0.151668915973491,1770.7000692015445,379012179.3206415,,,,,,
nbeatsmoeshared,gluonts_m1_monthly,M,8,0.005473404277305,81.01138390280354,46368202.65387296,0.1556692935413166,1931.5320437252096,441012030.1715007,,,,,,
nbeatsstackmoe,gluonts_m1_monthly,M,8,0.0031441468376466,68.00385997406588,48325373.09456145,0.1484066950336315,1857.187685383804,408661552.8918923,,,,,,
nbeatsmoescaled,gluonts_m1_yearly,Y,2,0.0035280448343777,3979.842842313928,22660352584.40309,0.1161697701539704,53395.14703368861,145958546843.3829,0.0434650500797858,0.5831443179518743,0.1154593515968583,55223.63977683619,148179162062.47177,0.6031138322770245
nbeatsmoescaled,gluonts_tourism_quarterly,Q,8,0.0027682791886366,354.0344402359741,1588412804.4233224,0.1944850913720064,13184.407721011925,13227353321.136429,0.0420375999826767,1.5654998350301637,0.1949740310260048,13085.06617965352,13155341097.00795,1.5537041465245378
nbeatsmoescaled,gluonts_tourism_yearly,Y,4,0.0145082452310469,3673.7657066862143,83111619662.61784,0.2978082547133097,100232.03873015309,907416442681.8384,0.0838428329126584,2.287499733707191,0.2960806914269046,100236.11992377124,913886189758.5076,2.2875928748767507
nbeatsmoescaled,gluonts_tourism_monthly,M,18,0.0018729441544347,95.31428838057008,64440003.48398435,0.2475689866958845,3565.950363674957,530468619.5249239,0.0495115931824315,1.852354843274573,0.247736791043282,3561.284571890101,540855267.8747874,1.849931169042192
nbeatsmoescaled,gluonts_m1_quarterly,Q,2,0.0051235464281328,116.9173102854909,19363531.08634587,0.1144046090224905,2302.868701513471,159868361.2515059,0.0298281438293421,0.5875117951405557,0.1160655403726206,2351.2315273902905,161864944.3097891,0.5998502018548797
nbeatsmoescaled,gluonts_m1_monthly,M,8,0.005250288073920797,55.26233446680047,51578967.48313746,0.15491216629629753,1825.2765810781939,400662838.6025238,0.014885241315454508,0.49164919721441,0.15587243633591508,1831.0134070544095,407963762.58618844,0.4931944457071613
